iter	Passed	Remaining
0	2	865
1	5	777
2	7	714
3	9	697
4	11	681
5	14	693
6	16	684
7	18	670
8	20	670
9	22	664
10	25	657
11	27	651
12	29	644
13	31	640
14	33	641
15	36	639
16	38	636
17	40	631
18	42	627
19	44	621
20	46	617
21	48	614
22	50	610
23	52	608
24	55	610
25	57	606
26	59	604
27	61	600
28	63	597
29	65	591
30	67	588
31	70	586
32	72	586
33	74	583
34	76	580
35	78	578
36	80	573
37	83	574
38	85	573
39	87	566
40	89	564
41	91	561
42	93	559
43	95	557
44	97	554
45	99	550
46	101	548
47	104	546
48	106	544
49	108	542
50	110	540
51	112	537
52	114	535
53	117	533
54	119	530
55	121	528
56	123	526
57	125	524
58	127	522
59	130	520
60	132	519
61	134	517
62	137	516
63	139	515
64	141	512
65	143	510
66	146	508
67	148	505
68	150	503
69	152	501
70	154	499
71	156	497
72	159	494
73	161	493
74	163	491
75	165	489
76	168	487
77	170	485
78	172	482
79	174	480
80	176	477
81	178	474
82	180	472
83	183	470
84	185	469
85	187	467
86	190	465
87	192	463
88	194	460
89	196	458
90	198	456
91	200	454
92	203	452
93	205	449
94	206	445
95	208	443
96	210	440
97	213	439
98	215	438
99	217	434
100	219	433
101	221	430
102	223	428
103	226	426
104	228	423
105	230	421
106	232	418
107	234	416
108	236	414
109	238	412
110	240	408
111	241	405
112	244	403
113	246	401
114	248	400
115	250	397
116	252	395
117	255	393
118	257	391
119	259	389
120	261	386
121	263	384
122	265	382
123	267	379
124	269	377
125	272	376
126	274	374
127	276	371
128	278	369
129	281	367
130	282	364
131	284	362
132	286	360
133	288	357
134	290	355
135	293	353
136	295	351
137	297	349
138	300	347
139	302	345
140	304	343
141	307	341
142	309	339
143	311	337
144	313	334
145	314	331
146	316	329
147	318	327
148	320	324
149	322	322
150	324	319
151	326	317
152	328	315
153	330	313
154	333	311
155	335	309
156	337	307
157	339	305
158	342	303
159	344	301
160	346	299
161	348	296
162	350	294
163	352	292
164	354	290
165	357	288
166	359	286
167	361	284
168	363	281
169	365	279
170	367	277
171	369	275
172	372	273
173	374	270
174	376	268
175	378	266
176	380	264
177	382	262
178	385	260
179	387	258
180	389	256
181	391	254
182	394	251
183	396	249
184	398	247
185	401	245
186	403	243
187	404	241
188	407	239
189	410	237
190	412	235
191	414	233
192	416	231
193	418	228
194	420	226
195	423	224
196	425	222
197	427	220
198	429	218
199	432	216
200	433	213
201	435	211
202	438	209
203	440	207
204	442	205
205	445	203
206	447	200
207	449	198
208	451	196
209	453	194
210	455	192
211	458	190
212	460	188
213	462	185
214	464	183
215	467	181
216	469	179
217	471	177
218	473	175
219	475	173
220	478	170
221	480	168
222	482	166
223	484	164
224	487	162
225	489	160
226	491	158
227	493	155
228	495	153
229	498	151
230	500	149
231	502	147
232	504	145
233	506	142
234	509	140
235	511	138
236	513	136
237	515	134
238	517	132
239	519	129
240	521	127
241	523	125
242	526	123
243	528	121
244	530	119
245	532	116
246	534	114
247	536	112
248	539	110
249	541	108
250	543	106
251	545	103
252	548	101
253	550	99
254	552	97
255	554	95
256	557	93
257	559	91
258	561	88
259	563	86
260	565	84
261	568	82
262	570	80
263	572	78
264	575	75
265	577	73
266	579	71
267	581	69
268	583	67
269	585	65
270	587	62
271	590	60
272	592	58
273	594	56
274	595	54
275	598	52
276	600	49
277	602	47
278	604	45
279	606	43
280	609	41
281	611	39
282	613	36
283	616	34
284	618	32
285	620	30
286	622	28
287	625	26
288	627	23
289	629	21
290	631	19
291	633	17
292	635	15
293	636	12
294	638	10
295	640	8
296	642	6
297	644	4
298	647	2
299	649	0
