iter	Passed	Remaining
0	2	852
1	5	785
2	7	768
3	9	729
4	11	704
5	14	695
6	16	681
7	18	667
8	20	660
9	23	668
10	25	665
11	27	665
12	29	661
13	32	656
14	34	651
15	36	647
16	38	642
17	40	638
18	42	635
19	45	633
20	47	629
21	49	626
22	51	625
23	54	624
24	56	625
25	59	625
26	61	624
27	63	621
28	66	621
29	68	615
30	70	611
31	72	609
32	74	605
33	76	601
34	79	598
35	81	595
36	83	590
37	84	586
38	87	583
39	88	576
40	91	575
41	93	572
42	95	571
43	97	569
44	100	567
45	102	563
46	104	560
47	106	558
48	108	556
49	110	554
50	112	551
51	115	549
52	117	546
53	119	544
54	121	541
55	124	540
56	126	537
57	128	535
58	130	532
59	132	529
60	134	527
61	136	525
62	139	523
63	141	520
64	143	518
65	145	515
66	147	512
67	149	510
68	151	507
69	153	505
70	156	503
71	158	501
72	160	499
73	162	497
74	164	494
75	167	492
76	169	490
77	171	488
78	173	484
79	175	481
80	177	479
81	179	475
82	181	473
83	182	469
84	184	467
85	186	464
86	188	462
87	190	459
88	192	457
89	195	455
90	197	453
91	199	451
92	201	449
93	204	447
94	205	443
95	207	441
96	210	440
97	213	439
98	215	437
99	217	434
100	219	432
101	221	430
102	224	429
103	227	428
104	229	426
105	231	423
106	233	421
107	236	419
108	238	418
109	240	415
110	242	412
111	243	408
112	245	406
113	247	404
114	249	401
115	251	399
116	253	397
117	256	395
118	258	393
119	260	391
120	263	389
121	265	387
122	267	385
123	270	383
124	272	381
125	275	379
126	277	377
127	279	375
128	282	373
129	284	371
130	285	368
131	288	366
132	290	364
133	292	362
134	295	360
135	297	358
136	299	356
137	301	354
138	303	351
139	305	349
140	308	347
141	310	345
142	312	342
143	314	340
144	316	337
145	317	334
146	319	332
147	321	330
148	322	327
149	324	324
150	327	322
151	329	320
152	331	318
153	333	315
154	335	313
155	337	311
156	339	309
157	341	307
158	343	304
159	345	302
160	347	300
161	349	298
162	351	295
163	353	292
164	355	290
165	357	288
166	359	286
167	361	284
168	363	281
169	365	279
170	367	277
171	369	275
172	371	272
173	373	270
174	375	268
175	377	266
176	379	264
177	381	261
178	383	259
179	386	257
180	388	255
181	390	253
182	392	250
183	394	248
184	396	246
185	398	244
186	401	242
187	402	239
188	404	237
189	406	235
190	408	233
191	410	231
192	412	228
193	414	226
194	417	224
195	419	222
196	421	220
197	423	218
198	425	216
199	427	213
200	429	211
201	432	209
202	434	207
203	437	205
204	439	203
205	441	201
206	443	199
207	445	197
208	447	194
209	449	192
210	451	190
211	454	188
212	456	186
213	458	184
214	460	182
215	463	180
216	465	178
217	467	175
218	470	173
219	472	171
220	475	169
221	477	167
222	479	165
223	481	163
224	483	161
225	485	159
226	487	156
227	490	154
228	492	152
229	494	150
230	496	148
231	498	146
232	500	144
233	503	141
234	505	139
235	508	137
236	510	135
237	512	133
238	513	131
239	516	129
240	518	126
241	520	124
242	522	122
243	524	120
244	526	118
245	528	116
246	530	113
247	533	111
248	535	109
249	537	107
250	540	105
251	542	103
252	544	101
253	547	99
254	549	96
255	552	94
256	554	92
257	557	90
258	559	88
259	562	86
260	565	84
261	568	82
262	570	80
263	573	78
264	575	76
265	578	73
266	580	71
267	582	69
268	584	67
269	586	65
270	588	63
271	591	60
272	593	58
273	595	56
274	597	54
275	599	52
276	601	49
277	603	47
278	606	45
279	608	43
280	610	41
281	613	39
282	615	36
283	617	34
284	619	32
285	621	30
286	624	28
287	626	26
288	628	23
289	630	21
290	632	19
291	634	17
292	636	15
293	637	13
294	639	10
295	641	8
296	643	6
297	646	4
298	648	2
299	650	0
